Pillar,Dimension,Indicator,Size,Info
Pillar 1: Data Use,Dimension 1.1: Data use by national legislature,No indicators currently available,1,No indicators currently available for this dimension.
Pillar 1: Data Use,Dimension 1.2: Data use by national executive branch,No indicators currently available,1,No indicators currently available for this dimension.
Pillar 1: Data Use,Dimension 1.3: Data use by civil society,No indicators currently available,1,No indicators currently available for this dimension.
Pillar 1: Data Use,Dimension 1.4: Data use by academia,No indicators currently available,1,No indicators currently available for this dimension.
Pillar 1: Data Use,Dimension 1.5: Data use by international organisations,"Indicator 1.5.2: Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME",1,"Indicator ID: SPI.D1.5.CHLD.MORT
Scoring: 1 Point. At least three indicators that met UN IGME standards within past 5 years. 0.67 Points. Two indicators that met UN IGME standards within past 5 years. 0.33 Points. One indicators that met UN IGME standards within past 5 years 0 Points. None within past 5 years
Abbreviation: CHLD.MORT
Child Mortality Metadata from UN IGME"
Pillar 1: Data Use,Dimension 1.5: Data use by international organisations,Indicator 1.5.3: Quality of Debt service data according to World Bank,1,"Indicator ID: SPI.D1.5.DT.TDS.DPPF.XP.ZS
Scoring: 1 Points. Actual value. 0.67 Points. Preliminary value 0.33 Points. Estimated value. 0 Points. No value
Abbreviation: DT.TDS.DPPF.XP.ZS
Debt Reporting Metadata from World Bank"
Pillar 1: Data Use,Dimension 1.5: Data use by international organisations,Indicator 1.5.5: Labor force participation rate by sex and age (%),1,"Indicator ID: SPI.D1.5.LFP
Scoring: 1 Point. Country has a labor force survey based estimate in past 5 years of labor force participation broken down by total, male, and female & estimated value from ILO is within 10 percentage points of value reported by national government. 
 
 0.5 Point. Country has labor force survey or is within 10 points of ILO, but not both 
 
 0 Points. Otherwise
Abbreviation: LFP
Labor force participation data for use by ILO"
Pillar 1: Data Use,Dimension 1.5: Data use by international organisations,Indicator 1.5.1: Availability of Comparable Poverty headcount ratio at $2.15 a day,1,"Indicator ID: SPI.D1.5.POV
Scoring: 1 Point. Comparable data lasting at least two years within past 5 years.  0 Points. No comparable data within past 5 years
Abbreviation: POV
Comparability data from World Bank's Povcalnet"
Pillar 1: Data Use,Dimension 1.5: Data use by international organisations,Indicator 1.5.4: Safely Managed Drinking Water,1,"Indicator ID: SPI.D1.5.SAFE.MAN.WATER
Scoring: 1 Point. At least two estimates, with breakdowns for urban/rural areas, within an 8 year window 
 
  0.5 Points. At least two estimates, but not an urban/rural breakdown, within an 8 year window 
 
  0 Points. Otherwise
Abbreviation: SAFE.MAN.WATER
Availability of Safely Managed Drinking Water data for use by JMP"
Pillar 2: Data Services,Dimension 2.1: Data releases,Indicator 2.1.1: SDDS/e-GDDS subscription,1,"Indicator ID: SPI.D2.1.GDDS
Scoring: Point. Subscribing to IMF SDDS+ or SDDS standards 0.5 Points. Subscribing to IMF e-GDDS standards. 0 Points. Otherwise
Abbreviation: GDDS
The Special Data Dissemination Standard (SDDS) and electronic General Data Dissemination Standard (e-GDDS) were established by the International Monetary Fund (IMF) for member countries that have or that might seek access to international capital markets, to guide them in providing their economic and financial data to the public.  Although subscription is voluntary, the subscribing member needs to be committed to observing the standard and provide information about its data and data dissemination practices (metadata).  The metadata are posted on the IMF’s SDDS and e-GDDS websites."
Pillar 2: Data Services,Dimension 2.2: Online access,Indicator 2.2.4: Download Options Score,1,"Indicator ID: SPI.D2.2.Download.options
Scoring: Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.
Abbreviation: Download.options
Download Options Score"
Pillar 2: Data Services,Dimension 2.2: Online access,Indicator 2.2.2: Machine Readability Score,1,"Indicator ID: SPI.D2.2.Machine.readable
Scoring: Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.
Abbreviation: Machine.readable
Machine Readability Score"
Pillar 2: Data Services,Dimension 2.2: Online access,Indicator 2.2.5: Metadata Available Score,1,"Indicator ID: SPI.D2.2.Metadata.available
Scoring: Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.
Abbreviation: Metadata.available
Metadata Available Score"
Pillar 2: Data Services,Dimension 2.2: Online access,Indicator 2.2.3: Non-Proprietary format Score,1,"Indicator ID: SPI.D2.2.Non.proprietary
Scoring: Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.
Abbreviation: Non.proprietary
Non-Proprietary format Score"
Pillar 2: Data Services,Dimension 2.2: Online access,Indicator 2.2.1: ODIN Open Data Openness score,1,"Indicator ID: SPI.D2.2.Openness.subscore
Scoring: Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.
Abbreviation: Openness.subscore
ODW Openness score"
Pillar 2: Data Services,Dimension 2.2: Online access,Indicator 2.2.6: Terms of Use Score,1,"Indicator ID: SPI.D2.2.Terms.of.use
Scoring: Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.
Abbreviation: Terms.of.use
Terms of Use Score"
Pillar 2: Data Services,Dimension 2.3: Advisory/ Analytical Services,Indicator 2.3.1: NSO Website,1,"Indicator ID: SPI.D2.3.DSAS
Scoring: No established methodology.
Abbreviation: DSAS
New indicator of number of non-recurring products on NSO website (ad hoc/experimental rather than regular releases). The indicator is the number of products found."
Pillar 2: Data Services,Dimension 2.4: Data access services,Indicator 2.4.1: NADA metadata,1,"Indicator ID: SPI.D2.4.NADA
Scoring: 1 Point. Yes, available. 0 Points. No
Abbreviation: NADA
NADA/NSO websites.  Statistical systems must be open and transparent about their methods and procedures and provide access to adequate metadata – detailed descriptions of the methods and procedures used to produce the data."
