Pillar_number,Pillar,Dimension_number,Dimension,Indicator_number,Indicator,Indicator_id,Size,Pillar_description,Dimension_description,Indicator_description,Indicator_scoring,Indicator_abv
1,Pillar 1: Data Use,1.1,Dimension 1.1: Data use by national legislature,"",No indicators currently available,"",1,"The data use overall score is a composite score measuring the demand side of the statistical system. The data use pillar is segmented by five types of users: (i) the legislature, (ii) the executive branch, (iii) civil society (including sub-national actors), (iv) academia and (v) international bodies. Each dimension would have associated indicators to measure performance. A mature system would score well across all dimensions whereas a less mature one would have weaker scores along certain dimensions. The gaps would give insights into prioritization among user groups and help answer questions as to why the existing services are not resulting in higher use of national statistics in a particular segment. Currently, the SPI only features indicators for one of the five dimensions of data use, which is data use by international organizations. Indicators on whether statistical systems are providing useful data to their national governments (legislature and executive branches), to civil society, and to academia are absent. Thus the dashboard does not yet assess if national statistical systems are meeting the data needs of a large swathe of users.",Not included because of lack of established methodology. In principle it may be possible to utilize websites of national legislatures but this will require further work and assessment.,"","",""
1,Pillar 1: Data Use,1.2,Dimension 1.2: Data use by national executive branch,"",No indicators currently available,"",1,"The data use overall score is a composite score measuring the demand side of the statistical system. The data use pillar is segmented by five types of users: (i) the legislature, (ii) the executive branch, (iii) civil society (including sub-national actors), (iv) academia and (v) international bodies. Each dimension would have associated indicators to measure performance. A mature system would score well across all dimensions whereas a less mature one would have weaker scores along certain dimensions. The gaps would give insights into prioritization among user groups and help answer questions as to why the existing services are not resulting in higher use of national statistics in a particular segment. Currently, the SPI only features indicators for one of the five dimensions of data use, which is data use by international organizations. Indicators on whether statistical systems are providing useful data to their national governments (legislature and executive branches), to civil society, and to academia are absent. Thus the dashboard does not yet assess if national statistical systems are meeting the data needs of a large swathe of users.",Not included because of lack of established methodology. There are some usable data sources (as used by PARIS21) but gaps in data across countries have prevented full adoption.,"","",""
1,Pillar 1: Data Use,1.3,Dimension 1.3: Data use by civil society,"",No indicators currently available,"",1,"The data use overall score is a composite score measuring the demand side of the statistical system. The data use pillar is segmented by five types of users: (i) the legislature, (ii) the executive branch, (iii) civil society (including sub-national actors), (iv) academia and (v) international bodies. Each dimension would have associated indicators to measure performance. A mature system would score well across all dimensions whereas a less mature one would have weaker scores along certain dimensions. The gaps would give insights into prioritization among user groups and help answer questions as to why the existing services are not resulting in higher use of national statistics in a particular segment. Currently, the SPI only features indicators for one of the five dimensions of data use, which is data use by international organizations. Indicators on whether statistical systems are providing useful data to their national governments (legislature and executive branches), to civil society, and to academia are absent. Thus the dashboard does not yet assess if national statistical systems are meeting the data needs of a large swathe of users.","Not included because of lack of established methodology. There are some usable data sources with good coverage, for example from social media but more data is required to help assess and allow for likely biases between and within countries.","","",""
1,Pillar 1: Data Use,1.4,Dimension 1.4: Data use by academia,"",No indicators currently available,"",1,"The data use overall score is a composite score measuring the demand side of the statistical system. The data use pillar is segmented by five types of users: (i) the legislature, (ii) the executive branch, (iii) civil society (including sub-national actors), (iv) academia and (v) international bodies. Each dimension would have associated indicators to measure performance. A mature system would score well across all dimensions whereas a less mature one would have weaker scores along certain dimensions. The gaps would give insights into prioritization among user groups and help answer questions as to why the existing services are not resulting in higher use of national statistics in a particular segment. Currently, the SPI only features indicators for one of the five dimensions of data use, which is data use by international organizations. Indicators on whether statistical systems are providing useful data to their national governments (legislature and executive branches), to civil society, and to academia are absent. Thus the dashboard does not yet assess if national statistical systems are meeting the data needs of a large swathe of users.",Not included because of lack of established methodology. We have not been able to find usable data sources with global coverage on which a new methodology could be developed.,"","",""
1,Pillar 1: Data Use,1.5,Dimension 1.5: Data use by international organisations,SPI.D1.5.CHLD.MORT,"Indicator 1.5.2: Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME",SPI.D1.5.CHLD.MORT,1,"The data use overall score is a composite score measuring the demand side of the statistical system. The data use pillar is segmented by five types of users: (i) the legislature, (ii) the executive branch, (iii) civil society (including sub-national actors), (iv) academia and (v) international bodies. Each dimension would have associated indicators to measure performance. A mature system would score well across all dimensions whereas a less mature one would have weaker scores along certain dimensions. The gaps would give insights into prioritization among user groups and help answer questions as to why the existing services are not resulting in higher use of national statistics in a particular segment. Currently, the SPI only features indicators for one of the five dimensions of data use, which is data use by international organizations. Indicators on whether statistical systems are providing useful data to their national governments (legislature and executive branches), to civil society, and to academia are absent. Thus the dashboard does not yet assess if national statistical systems are meeting the data needs of a large swathe of users.","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.",Child Mortality Metadata from UN IGME,1 Point. At least three indicators that met UN IGME standards within past 5 years. 0.67 Points. Two indicators that met UN IGME standards within past 5 years. 0.33 Points. One indicators that met UN IGME standards within past 5 years 0 Points. None within past 5 years,CHLD.MORT
1,Pillar 1: Data Use,1.5,Dimension 1.5: Data use by international organisations,SPI.D1.5.DT.TDS.DPPF.XP.ZS,Indicator 1.5.3: Quality of Debt service data according to World Bank,SPI.D1.5.DT.TDS.DPPF.XP.ZS,1,"The data use overall score is a composite score measuring the demand side of the statistical system. The data use pillar is segmented by five types of users: (i) the legislature, (ii) the executive branch, (iii) civil society (including sub-national actors), (iv) academia and (v) international bodies. Each dimension would have associated indicators to measure performance. A mature system would score well across all dimensions whereas a less mature one would have weaker scores along certain dimensions. The gaps would give insights into prioritization among user groups and help answer questions as to why the existing services are not resulting in higher use of national statistics in a particular segment. Currently, the SPI only features indicators for one of the five dimensions of data use, which is data use by international organizations. Indicators on whether statistical systems are providing useful data to their national governments (legislature and executive branches), to civil society, and to academia are absent. Thus the dashboard does not yet assess if national statistical systems are meeting the data needs of a large swathe of users.","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.",Debt Reporting Metadata from World Bank,1 Points. Actual value. 0.67 Points. Preliminary value 0.33 Points. Estimated value. 0 Points. No value,DT.TDS.DPPF.XP.ZS
1,Pillar 1: Data Use,1.5,Dimension 1.5: Data use by international organisations,SPI.D1.5.LFP,Indicator 1.5.5: Labor force participation rate by sex and age (%),SPI.D1.5.LFP,1,"The data use overall score is a composite score measuring the demand side of the statistical system. The data use pillar is segmented by five types of users: (i) the legislature, (ii) the executive branch, (iii) civil society (including sub-national actors), (iv) academia and (v) international bodies. Each dimension would have associated indicators to measure performance. A mature system would score well across all dimensions whereas a less mature one would have weaker scores along certain dimensions. The gaps would give insights into prioritization among user groups and help answer questions as to why the existing services are not resulting in higher use of national statistics in a particular segment. Currently, the SPI only features indicators for one of the five dimensions of data use, which is data use by international organizations. Indicators on whether statistical systems are providing useful data to their national governments (legislature and executive branches), to civil society, and to academia are absent. Thus the dashboard does not yet assess if national statistical systems are meeting the data needs of a large swathe of users.","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.",Labor force participation data for use by ILO,"1 Point. Country has a labor force survey based estimate in past 5 years of labor force participation broken down by total, male, and female & estimated value from ILO is within 10 percentage points of value reported by national government. 
 
 0.5 Point. Country has labor force survey or is within 10 points of ILO, but not both 
 
 0 Points. Otherwise",LFP
1,Pillar 1: Data Use,1.5,Dimension 1.5: Data use by international organisations,SPI.D1.5.POV,Indicator 1.5.1: Availability of Comparable Poverty headcount ratio at $2.15 a day,SPI.D1.5.POV,1,"The data use overall score is a composite score measuring the demand side of the statistical system. The data use pillar is segmented by five types of users: (i) the legislature, (ii) the executive branch, (iii) civil society (including sub-national actors), (iv) academia and (v) international bodies. Each dimension would have associated indicators to measure performance. A mature system would score well across all dimensions whereas a less mature one would have weaker scores along certain dimensions. The gaps would give insights into prioritization among user groups and help answer questions as to why the existing services are not resulting in higher use of national statistics in a particular segment. Currently, the SPI only features indicators for one of the five dimensions of data use, which is data use by international organizations. Indicators on whether statistical systems are providing useful data to their national governments (legislature and executive branches), to civil society, and to academia are absent. Thus the dashboard does not yet assess if national statistical systems are meeting the data needs of a large swathe of users.","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.",Comparability data from World Bank's Povcalnet,1 Point. Comparable data lasting at least two years within past 5 years.  0 Points. No comparable data within past 5 years,POV
1,Pillar 1: Data Use,1.5,Dimension 1.5: Data use by international organisations,SPI.D1.5.SAFE.MAN.WATER,Indicator 1.5.4: Safely Managed Drinking Water,SPI.D1.5.SAFE.MAN.WATER,1,"The data use overall score is a composite score measuring the demand side of the statistical system. The data use pillar is segmented by five types of users: (i) the legislature, (ii) the executive branch, (iii) civil society (including sub-national actors), (iv) academia and (v) international bodies. Each dimension would have associated indicators to measure performance. A mature system would score well across all dimensions whereas a less mature one would have weaker scores along certain dimensions. The gaps would give insights into prioritization among user groups and help answer questions as to why the existing services are not resulting in higher use of national statistics in a particular segment. Currently, the SPI only features indicators for one of the five dimensions of data use, which is data use by international organizations. Indicators on whether statistical systems are providing useful data to their national governments (legislature and executive branches), to civil society, and to academia are absent. Thus the dashboard does not yet assess if national statistical systems are meeting the data needs of a large swathe of users.","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.",Availability of Safely Managed Drinking Water data for use by JMP,"1 Point. At least two estimates, with breakdowns for urban/rural areas, within an 8 year window 
 
  0.5 Points. At least two estimates, but not an urban/rural breakdown, within an 8 year window 
 
  0 Points. Otherwise",SAFE.MAN.WATER
2,Pillar 2: Data Services,2.1,Dimension 2.1: Data releases,SPI.D2.1.GDDS,Indicator 2.1.1: SDDS/e-GDDS subscription,SPI.D2.1.GDDS,1,"The data services pillar overall score is a composite indicator based on four dimensions of data services: (i) the quality of data releases, (ii) the richness and openness of online access, (iii) the effectiveness of advisory and analytical services related to statistics, and (iv) the availability and use of data access services such as secure microdata access. Advisory and analytical services might incorporate elements related to data stewardship services including input to national data strategies, advice on data ethics and calling out misuse of data in accordance with the Fundamental Principles of Official Statistics.","SDDS/e-GDDS subscription. This indicator is based on whether the country subscribes to IMF SDDS+, SDDS, or e-GDDS standards. The source is the IMF Dissemination Standards Bulletin Board. This is a reliable data source but we recognize that it is a proxy for the concept we are seeking to capture rather than a direct measurement.","The Special Data Dissemination Standard (SDDS) and electronic General Data Dissemination Standard (e-GDDS) were established by the International Monetary Fund (IMF) for member countries that have or that might seek access to international capital markets, to guide them in providing their economic and financial data to the public.  Although subscription is voluntary, the subscribing member needs to be committed to observing the standard and provide information about its data and data dissemination practices (metadata).  The metadata are posted on the IMF’s SDDS and e-GDDS websites.",Point. Subscribing to IMF SDDS+ or SDDS standards 0.5 Points. Subscribing to IMF e-GDDS standards. 0 Points. Otherwise,GDDS
